Om,H0,alpha,beta,chi2
0.334,73.04,0.24591413611731855,3.6841138415405377,2204.2694937626015
0.334,73.04,0.2104051760547187,2.694291289573009,1761.68486554509
0.334,73.04,0.20589550815426577,2.006020359542406,1907.3130674559184
0.334,73.04,0.17849665519910957,2.8612405468640096,1533.9538793695053
0.334,73.04,0.20579927091562583,3.761980856532354,1801.183545705096
0.334,73.04,0.07691044168262942,2.982783207522973,1739.0673369937513
0.334,73.04,0.15721360718952748,2.547935349133065,1505.2193533575303
0.334,73.04,0.15284457403808288,3.160017160335254,1459.2140131967956
0.334,73.04,0.2215144288245115,3.880871308245964,1977.8851897860984
0.334,73.04,0.14255987311870316,2.298582716980765,1549.708078461377
0.334,73.04,0.1270178992200707,3.7293800841166194,1568.0287159639759
0.334,73.04,0.17791265424742203,3.668360059509868,1605.0343090354063
0.334,73.04,0.10329266350016922,2.9268446992126784,1556.857169406355
0.334,73.04,0.07795368219079138,4.425840478448736,2127.597900817669
0.334,73.04,0.14557545480474915,4.236763248700878,1738.0852752509736
0.334,73.04,0.13337787371897702,2.7904037020051744,1466.445471497143
0.334,73.04,0.09651398810577475,2.0777277334846076,1758.6795501117683
0.334,73.04,0.12350236202302561,2.7707620168626916,1487.4039584907214
0.334,73.04,0.12327848996524948,2.511804856352608,1524.859124568396
0.334,73.04,0.1154991128825091,3.368129785118982,1526.8350514732413
0.334,73.04,0.12589281594538582,4.296861052955387,1790.9960869285014
0.334,73.04,0.1871486690911891,4.175843775093804,1825.5247817140596
0.334,73.04,0.10937529491425707,2.764572889162067,1537.4138525270944
0.334,73.04,0.23977158534306808,3.0714938338890923,2048.421021034211
0.334,73.04,0.23326960390763557,2.091355497698916,2147.5638445383597
0.334,73.04,0.14618208566001573,3.3604087691228735,1473.1519229649778
0.334,73.04,0.11567224100093776,2.158419950126822,1640.034677390565
0.334,73.04,0.15708695796600064,4.34651541557275,1801.491783456832
0.334,73.04,0.21971209775472494,4.16733458713068,2068.8060456855455
0.334,73.04,0.1805174681120204,2.5354690660937576,1585.1850493599877
0.334,73.04,0.21087836558941547,3.748421699655114,1839.4865702410737
0.334,73.04,0.15654445521314803,3.4200509560833328,1491.4837428157582
0.334,73.04,0.17658352585352416,4.003394281290458,1704.0931026937958
0.334,73.04,0.10763112283649234,3.1891302668787995,1540.9373389726088
0.334,73.04,0.19697863246205816,2.479429926664445,1693.9414937046338
0.334,73.04,0.09048091862514368,3.5996085003070792,1703.726075201377
0.334,73.04,0.18895962576369968,2.2007008174898623,1716.8436546826572
0.334,73.04,0.22214381366517882,3.4614699779210554,1882.5097999081415
0.334,73.04,0.07642056746030879,2.531762013661144,1784.335727903438
0.334,73.04,0.17287594810838397,3.7123410928089005,1596.0782053534895
0.334,73.04,0.06901914964598693,4.070107904320271,2037.4112152293121
0.334,73.04,0.19514312565428538,2.273811823205181,1733.7502466914063
